"","TaxonName","CommonName","FleetGearName","bycatch","destruction","TaxonKey","FunctionalGroupDescription","fish_type"
"2583","Beryx decadactylus","Alfonsino","Trawl","high","destructive",601319,"Medium bathydemersals (30 - 89 cm)","demersal"
"2584","Leiostomus xanthurus","Spot croaker","Gillnet","high","non-destructive",600429,"Medium demersals (30 - 89 cm)","demersal"
"2585","Citharichthys sordidus","Pacific sanddab","Gillnet","high","non-destructive",604215,"Small to medium flatfishes (<90 cm)","demersal"
"2586","Stephanolepis cirrhifer","Thread-sail filefish","Lines Non-tuna","low","non-destructive",600531,"Small demersals (<30 cm)","demersal"
"2587","Lutjanus griseus","Grey snapper","Other","low","non-destructive",600266,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2588","Etrumeus whiteheadi","Whiteheads round herring","Gillnet","high","non-destructive",601456,"Small pelagics (<30 cm)","pelagic"
"2589","Nematopalaemon schmitti","Whitebelly prawn","Trawl","high","destructive",690694,"Shrimps","demersal"
"2590","Schedophilus pemarco","Pemarco blackfish","Trawl","high","destructive",610190,"Medium benthopelagics (30 - 89 cm)","demersal"
"2591","Lutjanus griseus","Grey snapper","Trawl","high","destructive",600266,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2592","Echeneidae","Remoras","Seine","high","non-destructive",400313,"Large pelagics (>=90 cm)","pelagic"
"2593","Scomberoides tol","Needlescaled queenfish","Trap","high","non-destructive",601953,"Medium pelagics (30 - 89 cm)","demersal"
"2594","Limanda aspera","Yellowfin sole","Lines Non-tuna","low","non-destructive",600520,"Small to medium flatfishes (<90 cm)","demersal"
"2595","Aspitrigla cuculus","East Atlantic red gurnard","Trawl midwater","high","non-destructive",NA,NA,"pelagic"
"2596","Cymbium","Gondolas","Dredge","high","destructive",590252,"Other demersal invertebrates","demersal"
"2597","Dentex angolensis","Angola dentex","Gillnet","high","non-destructive",600440,"Small demersals (<30 cm)","demersal"
"2598","Epinephelus multinotatus","White-blotched grouper","Lines Non-tuna","low","non-destructive",607354,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2599","Hoplostethus mediterraneus mediterraneus","Mediterranean slimehead","Trawl midwater","high","non-destructive",604964,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2600","Microchirus variegatus","Thickback sole","Trawl","high","destructive",600032,"Small to medium flatfishes (<90 cm)","demersal"
"2601","Trachinotus mookalee","Indian pompano","Trawl","high","destructive",601964,"Medium demersals (30 - 89 cm)","demersal"
"2602","Atule mate","Yellowtail scad","Trap","high","non-destructive",601893,"Small pelagics (<30 cm)","demersal"
"2603","Merluccius angustimanus","Panama hake","Trawl midwater","high","non-destructive",601827,"Medium demersals (30 - 89 cm)","pelagic"
"2604","Odontesthes regia","Silverside","Seine","high","non-destructive",608172,"Small pelagics (<30 cm)","pelagic"
"2605","Menticirrhus littoralis","Gulf kingcroaker","Gillnet","high","non-destructive",600411,"Medium demersals (30 - 89 cm)","demersal"
"2606","Oxynotus paradoxus","Sailfin roughshark","Lines Non-tuna","low","non-destructive",600719,"Large sharks (>=90 cm)","pelagic"
"2607","Atule mate","Yellowtail scad","Seine","high","non-destructive",601893,"Small pelagics (<30 cm)","pelagic"
"2608","Octopodidae","Octopuses","Trap","high","non-destructive",490012,"Cephalopods","demersal"
"2609","Engraulis ringens","Anchoveta","Gillnet","high","non-destructive",600004,"Small pelagics (<30 cm)","pelagic"
"2610","Lepidonotothen nudifrons","Gaudy notothen","Trawl","high","destructive",607047,"Small demersals (<30 cm)","demersal"
"2611","Cephalopholis argus","Peacock hind","Gillnet","high","non-destructive",606396,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2612","Capromimus abbreviatus","Capro dory","Purse seine Non-tuna","low","non-destructive",649232,"Small bathydemersals (<30 cm)","pelagic"
"2613","Loligo opalescens","California market squid","Trawl midwater","high","non-destructive",690658,"Cephalopods","pelagic"
"2614","Chirocentrus nudus","Whitefin wolf-herring","Trawl midwater","high","non-destructive",601452,"Large pelagics (>=90 cm)","pelagic"
"2615","Epigonus telescopus","Bulls-eye","Purse seine Non-tuna","low","non-destructive",602508,"Medium bathydemersals (30 - 89 cm)","pelagic"
"2616","Lobotes surinamensis","Atlantic tripletail","Lines Non-tuna","low","non-destructive",601077,"Large benthopelagics (>=90 cm)","pelagic"
"2617","Lepidopsetta bilineata","Rock sole","Gillnet","high","non-destructive",624237,"Small to medium flatfishes (<90 cm)","demersal"
"2618","Hyperoglyphe bythites","Black driftfish","Lines Non-tuna","low","non-destructive",603920,"Medium pelagics (30 - 89 cm)","pelagic"
"2619","Genypterus maculatus","Black cusk-eel","Trawl","high","destructive",600484,"Medium demersals (30 - 89 cm)","demersal"
"2620","Pterygotrigla polyommata","Latchet","Trawl","high","destructive",600508,"Medium demersals (30 - 89 cm)","demersal"
"2621","Nemadactylus","Porae","Seine","high","non-destructive",501523,"Medium demersals (30 - 89 cm)","demersal"
"2622","Inermiidae","Bonnetmouths","Trap","high","non-destructive",400479,"Small pelagics (<30 cm)","demersal"
"2623","Scymnodon ringens","Knifetooth dogfish","Lines Non-tuna","low","non-destructive",600700,"Small to medium sharks (<90 cm)","pelagic"
"2624","Caranx sexfasciatus","Bigeye trevally","Gillnet","high","non-destructive",601917,"Large reef assoc. fish (>=90 cm)","pelagic"
"2625","Plectorhinchus pictus","Trout sweetlips","Trap","high","non-destructive",608315,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2626","Myliobatidae","Eagle and manta rays","Other","low","non-destructive",400022,"Large rays (>=90 cm)","pelagic"
"2627","Pandalus goniurus","Humpy shrimp","Trawl","high","destructive",690616,"Shrimps","demersal"
"2628","Macrodon ancylodon","King weakfish","Trawl midwater","high","non-destructive",600417,"Medium demersals (30 - 89 cm)","pelagic"
"2629","Anthias anthias","Swallowtail seaperch","Trawl","high","destructive",601692,"Small reef assoc. fish (<30 cm)","demersal"
"2630","Palaemon longirostris","Delta prawn","Trawl","high","destructive",690680,"Shrimps","demersal"
"2631","Rhabdosargus globiceps","White stumpnose","Trawl","high","destructive",600449,"Medium benthopelagics (30 - 89 cm)","demersal"
"2632","Chelon haematocheilus","So-iny (redlip) mullet","Seine","high","non-destructive",NA,NA,"pelagic"
"2633","Oncorhynchus mykiss","Rainbow trout","Lines Non-tuna","low","non-destructive",600239,"Large benthopelagics (>=90 cm)","pelagic"
"2634","Halobatrachus didactylus","Lusitanian toadfish","Trawl","high","destructive",605429,"Medium demersals (30 - 89 cm)","demersal"
"2635","Decapterus macrosoma","Shortfin scad","Seine","high","non-destructive",601938,"Medium pelagics (30 - 89 cm)","pelagic"
"2636","Parapristipoma octolineatum","African striped grunt","Trawl midwater","high","non-destructive",608092,"Medium demersals (30 - 89 cm)","pelagic"
"2637","Mycteroperca microlepis","Gag","Lines Non-tuna","low","non-destructive",601212,"Large demersals (>=90 cm)","demersal"
"2638","Carcharhinus obscurus","Dusky shark","Gillnet","high","non-destructive",600878,"Large sharks (>=90 cm)","pelagic"
"2639","Capromimus abbreviatus","Capro dory","Trawl","high","destructive",649232,"Small bathydemersals (<30 cm)","demersal"
"2640","Liza aurata","Golden grey mullet","Seine","high","non-destructive",601735,"Medium pelagics (30 - 89 cm)","pelagic"
"2641","Mulinia","Taquilla clams","Dredge","high","destructive",590137,"Other demersal invertebrates","demersal"
"2642","Belone","Needlefishes","Lines Non-tuna","low","non-destructive",500871,"Medium pelagics (30 - 89 cm)","pelagic"
"2643","Austroglossus pectoralis","Mud sole","Trawl","high","destructive",600528,"Small to medium flatfishes (<90 cm)","demersal"
"2644","Seriolella brama","Common warehou","Trawl midwater","high","non-destructive",612918,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2645","Chlamys delicatula","Delicate scallop","Dredge","high","destructive",690679,"Other demersal invertebrates","demersal"
"2646","Opisthonema libertate","Pacific thread herring","Gillnet","high","non-destructive",601484,"Small pelagics (<30 cm)","pelagic"
"2647","Artemesia longinaris","Argentine stiletto shrimp","Trawl","high","destructive",690024,"Shrimps","demersal"
"2648","Batrachoididae","Toadfishes","Trawl","high","destructive",400189,"Large reef assoc. fish (>=90 cm)","demersal"
"2649","Mulloidichthys flavolineatus","Yellowstripe goatfish","Other","low","non-destructive",605983,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2650","Carcharias taurus","Sand tiger shark","Lines Non-tuna","low","non-destructive",600747,"Large sharks (>=90 cm)","pelagic"
"2651","Pterygotrigla","Pterygotrigla","Lines Non-tuna","low","non-destructive",504943,"Medium demersals (30 - 89 cm)","demersal"
"2652","Echeneidae","Remoras","Trawl midwater","high","non-destructive",400313,"Large pelagics (>=90 cm)","pelagic"
"2653","Orthopristis chrysoptera","Pigfish","Lines Non-tuna","low","non-destructive",600005,"Medium demersals (30 - 89 cm)","demersal"
"2654","Anchoa hepsetus","Broad-striped anchovy","Seine","high","non-destructive",601133,"Small pelagics (<30 cm)","pelagic"
"2655","Sepiida","Cuttlefishes","Trap","high","non-destructive",390006,"Cephalopods","demersal"
"2656","Xiphias gladius","Swordfish","Lines Non-tuna","low","non-destructive",600226,"Large pelagics (>=90 cm)","pelagic"
"2657","Sebastolobus alascanus","Shortspine thornyhead","Trawl","high","destructive",604009,"Medium bathydemersals (30 - 89 cm)","demersal"
"2658","Gadiformes","Cods","Trap","high","non-destructive",300044,"Large bathypelagics (>=90 cm)","demersal"
"2659","Diplodus puntazzo","Sharpsnout seabream","Lines Non-tuna","low","non-destructive",601749,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2660","Patagonotothen brevicauda brevicauda","Patagonian rockcod","Trawl","high","destructive",607052,"Small demersals (<30 cm)","demersal"
"2661","Paralomis","Paralomis","Dredge","high","destructive",590074,"Lobsters, crabs","demersal"
"2662","Trachurus declivis","Greenback horse mackerel","Trawl midwater","high","non-destructive",600372,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2663","Inermiidae","Bonnetmouths","Trawl","high","destructive",400479,"Small pelagics (<30 cm)","demersal"
"2664","Plectorhinchus gaterinus","Blackspotted rubberlips","Trap","high","non-destructive",607703,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2665","Dasyatidae","Stingrays","Lines Non-tuna","low","non-destructive",400020,"Large rays (>=90 cm)","pelagic"
"2666","Trachipterus","Deaf fishes","Trawl midwater","high","non-destructive",500211,"Large bathypelagics (>=90 cm)","pelagic"
"2667","Coregonus oxyrinchus","Houting","Gillnet","high","non-destructive",600233,"Medium demersals (30 - 89 cm)","demersal"
"2668","Anchoa mitchilli","Bay anchovy","Purse seine Non-tuna","low","non-destructive",600545,"Small pelagics (<30 cm)","pelagic"
"2669","Galatheidae","Squat lobsters","Trap","high","non-destructive",490124,"Lobsters, crabs","demersal"
"2670","Liza aurata","Golden grey mullet","Gillnet","high","non-destructive",601735,"Medium pelagics (30 - 89 cm)","pelagic"
"2671","Trachinotus mookalee","Indian pompano","Trap","high","non-destructive",601964,"Medium demersals (30 - 89 cm)","demersal"
"2672","Mugil","Grey mullets","Lines Non-tuna","low","non-destructive",500152,"Medium demersals (30 - 89 cm)","demersal"
"2673","Carcharhinus brachyurus","Copper shark","Trawl","high","destructive",600864,"Large sharks (>=90 cm)","demersal"
"2674","Sphyraena obtusata","Obtuse barracuda","Gillnet","high","non-destructive",604493,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2675","Paralomis","Paralomis","Gillnet","high","non-destructive",590074,"Lobsters, crabs","demersal"
"2676","Ostrea edulis","European flat oyster","Other","low","non-destructive",690123,"Other demersal invertebrates","demersal"
"2677","Bolbometopon muricatum","Green humphead parrotfish","Lines Non-tuna","low","non-destructive",605537,"Large reef assoc. fish (>=90 cm)","pelagic"
"2678","Sphyrnidae","Hammerhead bonnethead scoophead shark","Trawl","high","destructive",400012,"Large sharks (>=90 cm)","demersal"
"2679","Bramidae","Pomfrets","Lines Non-tuna","low","non-destructive",400319,"Medium pelagics (30 - 89 cm)","pelagic"
"2680","Diagramma pictum","Painted sweetlips","Lines Non-tuna","low","non-destructive",604465,"Large reef assoc. fish (>=90 cm)","pelagic"
"2681","Pharus legumen","Bean solen","Dredge","high","destructive",690759,"Other demersal invertebrates","demersal"
"2682","Ostrea","Flat oysters","Dredge","high","destructive",590112,"Other demersal invertebrates","demersal"
"2683","Heterocarpus vicarius","Northern nylon shrimp","Trawl","high","destructive",690610,"Shrimps","demersal"
"2684","Pseudocyttus maculatus","Smooth oreo","Trawl","high","destructive",607151,"Medium benthopelagics (30 - 89 cm)","demersal"
"2685","Grammoplites suppositus","Spotfin flathead","Trawl","high","destructive",628128,"Small demersals (<30 cm)","demersal"
"2686","Macroramphosidae","Snipefishes","Trawl","high","destructive",NA,NA,"demersal"
"2687","Carcharias taurus","Sand tiger shark","Trawl","high","destructive",600747,"Large sharks (>=90 cm)","demersal"
"2688","Decapterus macrosoma","Shortfin scad","Gillnet","high","non-destructive",601938,"Medium pelagics (30 - 89 cm)","pelagic"
"2689","Stomatopoda","Mantis shrimps","Trap","high","non-destructive",390017,"Shrimps","demersal"
"2690","Lutjanus griseus","Grey snapper","Trawl midwater","high","non-destructive",600266,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2691","Etmopterus granulosus","Southern lanternshark","Gillnet","high","non-destructive",600679,"Small to medium sharks (<90 cm)","pelagic"
"2692","Ammodytes","Sandlances","Trawl","high","destructive",500124,"Large reef assoc. fish (>=90 cm)","demersal"
"2693","Kyphosus","Sea chubs","Trawl","high","destructive",500477,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2694","Seriolella","Barrelfishes","Other","low","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2695","Ablennes hians","Flat needlefish","Gillnet","high","non-destructive",600972,"Large pelagics (>=90 cm)","pelagic"
"2696","Diplodus vulgaris","Common two-banded seabream","Trawl","high","destructive",601754,"Medium benthopelagics (30 - 89 cm)","demersal"
"2697","Perciformes","Perch-likes","Trap","high","non-destructive",300060,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2698","Enchelyopus cimbrius","Fourbeard rockling","Trawl","high","destructive",601874,"Medium demersals (30 - 89 cm)","demersal"
"2699","Citharichthys sordidus","Pacific sanddab","Trawl","high","destructive",604215,"Small to medium flatfishes (<90 cm)","demersal"
"2700","Pomadasys jubelini","Sompat grunt","Gillnet","high","non-destructive",604708,"Medium demersals (30 - 89 cm)","demersal"
"2701","Echeneidae","Remoras","Gillnet","high","non-destructive",400313,"Large pelagics (>=90 cm)","pelagic"
"2702","Thunnus","Tuna","Trawl","high","destructive",501905,"Large pelagics (>=90 cm)","demersal"
"2703","Benthosema pterotum","Skinnycheek lanternfish","Trawl","high","destructive",610238,"Small bathypelagics (<30 cm)","demersal"
"2704","Monotaxis grandoculis","Humpnose big-eye bream","Other","low","non-destructive",601869,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2705","Pitar rostratus","Rostrate pitar","Dredge","high","destructive",690751,"Other demersal invertebrates","demersal"
"2706","Atherina presbyter","Sand smelt","Trawl","high","destructive",600045,"Small pelagics (<30 cm)","demersal"
"2707","Pleuronectes quadrituberculatus","Alaska plaice","Gillnet","high","non-destructive",604250,"Small to medium flatfishes (<90 cm)","demersal"
"2708","Mola mola","Ocean sunfish","Pole and Line Tuna","low","non-destructive",601732,"Large pelagics (>=90 cm)","pelagic"
"2709","Strangomera bentincki","Araucanian herring","Gillnet","high","non-destructive",NA,NA,"pelagic"
"2710","Epinephelus niveatus","Snowy grouper","Lines Non-tuna","low","non-destructive",NA,NA,"demersal"
"2711","Scomberoides tol","Needlescaled queenfish","Trawl midwater","high","non-destructive",601953,"Medium pelagics (30 - 89 cm)","pelagic"
"2712","Girella tricuspidata","Luderick","Trawl midwater","high","non-destructive",608173,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2713","Dentex maroccanus","Morocco dentex","Lines Non-tuna","low","non-destructive",604538,"Medium demersals (30 - 89 cm)","demersal"
"2714","Trematomus eulepidotus","Blunt scalyhead","Trawl","high","destructive",607054,"Small demersals (<30 cm)","demersal"
"2715","Lutjanus guttatus","Spotted rose snapper","Other","low","non-destructive",600152,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2716","Lethrinus harak","Thumbprint emperor","Other","low","non-destructive",601851,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2717","Amblyraja georgiana","Antarctic starry skate","Trawl","high","destructive",606953,"Large rays (>=90 cm)","demersal"
"2718","Belone","Needlefishes","Trawl midwater","high","non-destructive",500871,"Medium pelagics (30 - 89 cm)","pelagic"
"2719","Portunidae","Swimming crabs","Gillnet","high","non-destructive",490031,"Lobsters, crabs","demersal"
"2720","Tripterophycis gilchristi","Grenadier cod","Trawl","high","destructive",602023,"Medium benthopelagics (30 - 89 cm)","demersal"
"2721","Lutjanus gibbus","Humpback red snapper","Other","low","non-destructive",600265,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2722","Upogebia pugettensis","Blue mud shrimp","Seine","high","non-destructive",690665,"Lobsters, crabs","demersal"
"2723","Scorpaena porcus","Black scorpionfish","Lines Non-tuna","low","non-destructive",601758,"Small demersals (<30 cm)","demersal"
"2724","Cephalopholis argus","Peacock hind","Trap","high","non-destructive",606396,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2725","Strangomera bentincki","Araucanian herring","Seine","high","non-destructive",NA,NA,"pelagic"
"2726","Callista chione","Smooth callista","Dredge","high","destructive",690690,"Other demersal invertebrates","demersal"
"2727","Spisula ovalis","Venus clam","Dredge","high","destructive",690631,"Other demersal invertebrates","demersal"
"2728","Mola mola","Ocean sunfish","Lines Non-tuna","low","non-destructive",601732,"Large pelagics (>=90 cm)","pelagic"
"2729","Taractichthys steindachneri","Sickle pomfret","Trawl midwater","high","non-destructive",603561,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2730","Lithognathus","Steenbras","Lines Non-tuna","low","non-destructive",501550,"Large benthopelagics (>=90 cm)","pelagic"
"2731","Haliporoides diomedeae","Chilean nylon shrimp","Trawl","high","destructive",690609,"Shrimps","demersal"
"2732","Oncorhynchus mykiss","Rainbow trout","Gillnet","high","non-destructive",600239,"Large benthopelagics (>=90 cm)","pelagic"
"2733","Tresus","Gaper clams","Dredge","high","destructive",590269,"Other demersal invertebrates","demersal"
"2734","Pleuronectidae","Righteye flounders","Gillnet","high","non-destructive",400440,"Small to medium flatfishes (<90 cm)","demersal"
"2735","Epinephelus analogus","Spotted grouper","Lines Non-tuna","low","non-destructive",600348,"Large reef assoc. fish (>=90 cm)","pelagic"
"2736","Pterothrissus belloci","Longfin bonefish","Trawl","high","destructive",600229,"Medium bathydemersals (30 - 89 cm)","demersal"
"2737","Miichthys miiuy","Mi-iuy croaker","Seine","high","non-destructive",604569,"Medium demersals (30 - 89 cm)","demersal"
"2738","Anchoa hepsetus","Broad-striped anchovy","Purse seine Non-tuna","low","non-destructive",601133,"Small pelagics (<30 cm)","pelagic"
"2739","Menticirrhus saxatilis","Northern kingcroaker","Seine","high","non-destructive",600410,"Medium demersals (30 - 89 cm)","demersal"
"2740","Mugil","Grey mullets","Seine","high","non-destructive",500152,"Medium demersals (30 - 89 cm)","demersal"
"2741","Aphareus rutilans","Rusty jobfish","Lines Non-tuna","low","non-destructive",600083,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2742","Carcharhiniformes","Ground sharks","Gillnet","high","non-destructive",300008,"Large sharks (>=90 cm)","pelagic"
"2743","Lutjanus vivanus","Silk snapper","Seine","high","non-destructive",600185,"Medium demersals (30 - 89 cm)","demersal"
"2744","Lutjanus gibbus","Humpback red snapper","Trap","high","non-destructive",600265,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2745","Liocarcinus depurator","Blue-leg swimcrab","Trawl","high","destructive",690676,"Lobsters, crabs","demersal"
"2746","Liza klunzingeri","Klunzingers mullet","Trawl","high","destructive",646376,"Small demersals (<30 cm)","demersal"
"2747","Parapenaeopsis atlantica","Guinea shrimp","Trawl","high","destructive",690168,"Shrimps","demersal"
"2748","Sphyraena obtusata","Obtuse barracuda","Other","low","non-destructive",604493,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2749","Echinorhinus brucus","Bramble shark","Lines Non-tuna","low","non-destructive",600641,"Large sharks (>=90 cm)","pelagic"
"2750","Pleuronichthys decurrens","Curlfin sole","Trawl","high","destructive",604252,"Small to medium flatfishes (<90 cm)","demersal"
"2751","Selene setapinnis","Atlantic moonfish","Seine","high","non-destructive",600378,"Medium demersals (30 - 89 cm)","demersal"
"2752","Tylosurus crocodilus crocodilus","Hound needlefish","Purse seine Non-tuna","low","non-destructive",NA,NA,"pelagic"
"2753","Parapristipoma octolineatum","African striped grunt","Lines Non-tuna","low","non-destructive",608092,"Medium demersals (30 - 89 cm)","demersal"
"2754","Apogonidae","Cardinalfishes","Lines Non-tuna","low","non-destructive",400304,"Small reef assoc. fish (<30 cm)","pelagic"
"2755","Cephalopholis hemistiktos","Yellowfin hind","Gillnet","high","non-destructive",606447,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2756","Metanephrops andamanicus","Andaman lobster","Trap","high","non-destructive",690013,"Lobsters, crabs","demersal"
"2757","Chloroscombrus chrysurus","Atlantic bumper","Trap","high","non-destructive",600385,"Medium pelagics (30 - 89 cm)","demersal"
"2758","Cheilinus undulatus","Humphead wrasse","Seine","high","non-destructive",605604,"Large reef assoc. fish (>=90 cm)","pelagic"
"2759","Seriolella punctata","Silver warehou","Trawl midwater","high","non-destructive",612922,"Medium benthopelagics (30 - 89 cm)","pelagic"
"2760","Merluccius paradoxus","Deep-water Cape hake","Trawl","high","destructive",601826,"Large bathydemersals (>=90 cm)","demersal"
"2761","Microstomus kitt","Lemon sole","Gillnet","high","non-destructive",601382,"Small to medium flatfishes (<90 cm)","demersal"
"2762","Lophius gastrophysus","Blackfin goosefish","Trawl","high","destructive",601078,"Medium bathydemersals (30 - 89 cm)","demersal"
"2763","Plectorhinchus pictus","Trout sweetlips","Gillnet","high","non-destructive",608315,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2764","Parapristipoma octolineatum","African striped grunt","Gillnet","high","non-destructive",608092,"Medium demersals (30 - 89 cm)","demersal"
"2765","Centropomus","Snooks","Seine","high","non-destructive",500504,"Large reef assoc. fish (>=90 cm)","pelagic"
"2766","Fistularia corneta","Pacific cornetfish","Trawl","high","destructive",608289,"Large pelagics (>=90 cm)","demersal"
"2767","Metanephrops andamanicus","Andaman lobster","Dredge","high","destructive",690013,"Lobsters, crabs","demersal"
"2768","Scombroids","Tunas bonitos billfishes","Other","low","non-destructive",NA,NA,"pelagic"
"2769","Anguilliformes","Eels and morays","Other","low","non-destructive",300026,"Large demersals (>=90 cm)","demersal"
"2770","Rhabdosargus haffara","Haffara seabream","Lines Non-tuna","low","non-destructive",608166,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2771","Caproidae","Boarfishes","Lines Non-tuna","low","non-destructive",400252,"Small bathydemersals (<30 cm)","demersal"
"2772","Calamus bajonado","Jolthead porgy","Other","low","non-destructive",601221,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2773","Petrus rupestris","Red steenbras","Trawl midwater","high","non-destructive",600447,"Large demersals (>=90 cm)","pelagic"
"2774","Haliotis midae","Perlemoen abalone","Other","low","non-destructive",690302,"Other demersal invertebrates","demersal"
"2775","Sebastes entomelas","Widow rockfish","Gillnet","high","non-destructive",600502,"Medium pelagics (30 - 89 cm)","pelagic"
"2776","Inermiidae","Bonnetmouths","Other","low","non-destructive",400479,"Small pelagics (<30 cm)","pelagic"
"2777","Regalecus glesne","King of herrings","Lines Non-tuna","low","non-destructive",603267,"Large pelagics (>=90 cm)","pelagic"
"2778","Carcharhiniformes","Ground sharks","Trawl","high","destructive",300008,"Large sharks (>=90 cm)","demersal"
"2779","Mustelus henlei","Brown smooth-hound","Lines Non-tuna","low","non-destructive",602540,"Small to medium sharks (<90 cm)","pelagic"
"2780","Neocyttus rhomboidalis","Spiky oreo","Trawl","high","destructive",609146,"Medium bathypelagics (30 - 89 cm)","demersal"
"2781","Trigloporus lastoviza","Streaked gurnard","Trawl midwater","high","non-destructive",605081,"Medium demersals (30 - 89 cm)","pelagic"
"2782","Trachyrincus scabrus","Roughsnout grenadier","Trawl","high","destructive",604556,"Medium bathypelagics (30 - 89 cm)","demersal"
"2783","Cynoscion analis","Peruvian weakfish","Gillnet","high","non-destructive",600403,"Medium demersals (30 - 89 cm)","demersal"
"2784","Somniosus rostratus","Little sleeper shark","Trawl","high","destructive",600704,"Large sharks (>=90 cm)","demersal"
"2785","Microgadus proximus","Pacific tomcod","Lines Non-tuna","low","non-destructive",601879,"Medium demersals (30 - 89 cm)","demersal"
"2786","Sebastes melanops","Black rockfish","Lines Non-tuna","low","non-destructive",603979,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2787","Lithodes maia","Stone king crab","Trap","high","non-destructive",690399,"Lobsters, crabs","demersal"
"2788","Centrolophus niger","Blackfish","Trawl","high","destructive",600249,"Large bathypelagics (>=90 cm)","demersal"
"2789","Fistularia corneta","Pacific cornetfish","Seine","high","non-destructive",608289,"Large pelagics (>=90 cm)","pelagic"
"2790","Plectorhinchus pictus","Trout sweetlips","Lines Non-tuna","low","non-destructive",608315,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2791","Chionodraco myersi","Chionodraco myersi","Lines Non-tuna","low","non-destructive",607110,"Medium bathydemersals (30 - 89 cm)","demersal"
"2792","Paratrachichthys trailli","Sandpaper fish","Trawl","high","destructive",612005,"Small bathypelagics (<30 cm)","demersal"
"2793","Mola mola","Ocean sunfish","Trawl midwater","high","non-destructive",601732,"Large pelagics (>=90 cm)","pelagic"
"2794","Mugil soiuy","So-iuy mullet","Gillnet","high","non-destructive",604791,"Medium demersals (30 - 89 cm)","demersal"
"2795","Liocarcinus depurator","Blue-leg swimcrab","Trap","high","non-destructive",690676,"Lobsters, crabs","demersal"
"2796","Aprion virescens","Green jobfish","Other","low","non-destructive",600084,"Large reef assoc. fish (>=90 cm)","pelagic"
"2797","Bathyraja maccaini","McCains skate","Trawl","high","destructive",606950,"Large rays (>=90 cm)","demersal"
"2798","Aspitrigla cuculus","East Atlantic red gurnard","Gillnet","high","non-destructive",NA,NA,"pelagic"
"2799","Alepocephalus rostratus","Rissos smooth-head","Lines Non-tuna","low","non-destructive",605071,"Medium bathydemersals (30 - 89 cm)","demersal"
"2800","Cephalopholis argus","Peacock hind","Other","low","non-destructive",606396,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2801","Lutjanus analis","Mutton snapper","Other","low","non-destructive",601403,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2802","Mactromeris polynyma","Stimpsons surf clam","Dredge","high","destructive",690398,"Other demersal invertebrates","demersal"
"2803","Lutjanus kasmira","Common bluestripe snapper","Trap","high","non-destructive",600156,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"2804","Lutjanus analis","Mutton snapper","Lines Non-tuna","low","non-destructive",601403,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"2805","Portunidae","Swimming crabs","Dredge","high","destructive",490031,"Lobsters, crabs","demersal"
"2806","Liza saliens","Leaping mullet","Trawl","high","destructive",601736,"Medium demersals (30 - 89 cm)","demersal"
"2807","Normanichthys crockeri","Normans camote","Trawl","high","destructive",604313,"Small demersals (<30 cm)","demersal"
"2808","Scyllarides","Scyllarides","Trap","high","non-destructive",590244,"Lobsters, crabs","demersal"
"2809","Caulolatilus chrysops","Atlantic goldeye tilefish","Trap","high","non-destructive",600983,"Medium demersals (30 - 89 cm)","demersal"
"2810","Scorpaena porcus","Black scorpionfish","Trawl","high","destructive",601758,"Small demersals (<30 cm)","demersal"
